CÃ³digo   TÃ­tulo                                           Autor                                             StockCant. no atendida
IIM5175   Diamantes y pedernales                            Jose Maria Arguedas                                  0   2
YDK7687   El otonio del patriarca                           Gabriel Garcia Marquez                              60   0
ZOY6470   El viejo y el mar                                 Hernest Hemingway                                   23   0
ETZ8565   Confesiones de una mascara                        Yukio Mishima                                       26   0
LQL0880   Contra el fascismo                                Umberto Eco                                         34   0
VFZ9435   El olor de la Edad Media                          Javier Traite                                       43   0
SFZ1256   La Iliada                                         Homero                                              32   0
EDQ0577   Las aventuras de Pinocho                          Carlo Collodi                                       25   0
YJI3961   Cien anios de soledad                             Gabriel Garcia Marquez                              42   0
VPN5351   El Amante                                         Ana Maria Moix                                      26   0
PVS2464   Sapiens                                           Yuval Noah Harari                                   18   0
DVL7760   Falco                                             Arturo Perez-Reverte                                54   0
QRH6838   Las cronicas de Narnia                            C. S. Lewis                                         38   0
LDL2628   Harry Potter y el caliz de fuego (Harry Potter 4) J.K. Rowling                                         2   0
SBU9053   Tierra arrasada                                   Alfredo Gonzalez Ruibal                             32   0
ZJM1292   El suenio del celta                               Mario Vargas Llosa                                  52   0
CRA4157   El forastero misterioso                           Mark Twain                                          39   0
RII8346   Las dos Dianas                                    Alejandro Dumas                                     22   0
JBR9372   El maestro de esgrima                             Arturo Perez-Reverte                                57   0
NEO9165   Emperador de Roma                                 Mary Beard                                          64   0
TBZ2657   Olalla                                            Robert Louis Stevenson                               3   0
IBP7411   Nunca                                             Ken Follett                                         39   0
GPH1575   La gran aventura de los griegos                   Javier Negrete                                       3   0
XIU2628   Cabo Trafalgar                                    Arturo Perez-Reverte                                17   0
DDT0017   Viaje al fin de la noche                          Louis Ferdinand Celine                              38   0
ILG7766   Iliada                                            Homero                                               5   0
HGQ0131   Odisea                                            Homero                                              20   0
HLB4548   Frankenstein o el moderno Prometeo                Mary W. Shelley                                     18   0
SQB7146   Cronica de una muerte anunciada                   Gabriel Garcia Marquez                              28   0
VHK9148   Historia y cronologia del mundo                   Isaac Asimov                                        63   0
MVU0233   La conspiracioni                                  Dan Brown                                           59   0
KWL0415   1923                                              Roberto Villa Garcia                                18   0
WPU8819   Tristam Shandy                                    Laurence Sterne                                     41   0
JTX5687   Veinte mil leguas de viaje submarino              Julio Verne                                         29   0
HCT8192   Diario                                            Ana FranK                                           61   0
OMN0252   Los hermanos Karamazov                            Fiodor Dostoyevski                                  42   0
CKC4095   El Gran Gatsby                                    F. Scott Fitzgerald                                 21   0
JLQ6546   El retorno del Rey                                J.R.R.Tolkien                                       34   0
MSW8176   Todo se desmorona                                 Chinua Achebe                                       23   0
TDY0497   La chica del tren                                 Paula Hawkins                                       40   0
NBL8415   Espania con honra                                 Daniel Aquillue                                     46   0
IMC3155   Los pilares de la tierra                          Ken Follett                                         33   0
FWK6327   El doble                                          Fiodor Dostoyevski                                  23   0
GQC1814   Apocalipticos e integrados                        Umberto Eco                                         25   0
PRD1648   Relato de un naufrago                             Gabriel Garcia Marquez                              10   0
SBF7018   El handicap de la vida                            Rudyard Kipling                                      2   0
LVP3355   Las aventuras de Sherlock Holmes                  Arthur Conan Doyle                                  35   0
FBO8724   El pendulo de Foucault                            Umberto Eco                                         63   0
WCZ0845   El cementerio de Praga                            Umberto Eco                                          3   0
WOF6634   El problema final                                 Arturo Perez-Reverte                                62   0
CUV7849   Ficciones                                         Jorge Luis Borges                                   50   0
VMW6915   Travesuras de la ninia mala                       Mario Vargas Llosa                                   6   0
MBQ9495   Tormenta de espadas                               George R.R.Martin                                   23   0
LQA8555   Rimas y leyendas                                  Gustavo Adolfo Becquer                              13   0
IMK4892   La tabla de Flandes                               Arturo Perez-Reverte                                17   0
QCA9584   Dr. Jekyll y Mr. Hyde                             Robert Louis Stevenson                              25   0
XJT3661   Las aventuras de Tom Sawye                        Mark Twain                                          63   0
THT4126   Harry Potter y las reliquias de la muerte (Harry Potter 7)J. K. Rowling                                       15   0
PZP7176   La caida de los gigantes                          Ken Follett                                         26   0
UQL8643   Dracula                                           Bram Stoker                                         22   0
RLQ7170   El tango de la guardia vieja                      Arturo Perez-Reverte                                62   0
KTA8754   Ulises                                            James Joyce                                         20   0
TOJ1764   Ensayo sobre la ceguera                           Jose Saramago                                       37   0
GWE4133   El gato negro y otros cuentos                     Edgar Allan Poe                                     63   0
ZPD6557   El ruido y la furia                               William Faulkner                                     8   0
IUG2294   El proceso                                        Franz Kafka                                         14   0
WGA2754   El club Dumas                                     Arturo Perez-Reverte                                 7   0
YJE2497   Progreso del peregrino                            John Bunyan                                         65   0
XCC4070   El italiano                                       Arturo Perez-Reverte                                13   0
OBD2849   El invierno del mundo                             Ken Follett                                         49   0
UCJ9882   El reino de este mundo                            Alejo Carpentier                                    17   0
QVU3526   Vidas intrepidas                                  Julio Albi de la Cuesta                             45   0
VTY5195   Un asunto de honor                                Arturo Perez-Reverte                                48   0
FKK6524   Los renglones torcidos de Dios                    Torcuato Luca de Tena                               36   0
KPE7420   Jane Eyre                                         Charlotte Brontë                                    30   0
MWB2923   Mudlarking                                        Lara Maiklem                                        54   0
ISY5671   Harry Potter y la piedra filosofal (Harry Potter 1)J. K. Rowling                                       23   0
NBE1339   Palmeras en la nieve                              Luz Gabas                                           20   0
JHP0390   El conde de Montecristo                           Alexandre Dumas                                      5   0
OWU1533   Cuatro principes                                  John Julius Norwich                                 30   0
SFR1226   Ana la de las tejas verdes                        Lucy Maud Montgomery                                 1   0
HRT0664   Los funerales de la Mama Grande                   Gabriel Garcia Marquez                              41   0
HPP3360   El pintor de batallas                             Arturo Perez-Reverte                                49   0
DND9446   Lo que el viento se llevo                         Margaret Mitchell                                   58   0
LJD9991   Baudolino                                         Umberto Eco                                          5   0
XIU6076   Rebelion en la granja                             George Orwell                                       36   0
PWX7633   La tia Julia y el escribidor                      Mario Vargas Llosa                                  40   0
UXZ2187   Los 7 habitos de la gente altamente efectiva      Stephen R. Covey                                    31   0
UEJ1235   Grandes esperanzas                                Charles Dickens                                     60   0
DDQ0721   En busca del tiempo perdido                       Marcel Proust                                       46   0
HWM4049   Romper el circulo                                 Colleen Hoover                                      57   0
EWI3090   La seniora Dalloway                               Virginia Woolf                                      15   0
JZC7527   El tambor de hojalata                             Gunter Grass                                         0   3
WYE2119   El asedio                                         Arturo Perez-Reverte                                41   0
YKQ9278   Alicia en el pais de las maravillas               Lewis Carroll                                       22   0
ZNF2241   El extranio caso del Dr. Jekyll y Mr. Hyde        Robert Louis Stevenson                              47   0
CTW5846   El medievo cristiano                              Mario Merlino                                        0   2
FWP8469   Justine o los infortunios                         Charles Dickens                                     30   0
CRY6839   Ricardo III                                       William Shakespeare                                 35   0
WMN3648   Pasaje a la India                                 E. M. Forster                                        2   0
QBL9575   Los miserables                                    Victor Hugo                                         50   0
VOI0019   El evangelio según Jesucristo                     Jose Saramago                                       51   0
TMR5068   Los tres mosqueteros                              Alejandro Dumas                                     51   0
RWW7975   El nombre de la rosa                              Umberto Eco                                         41   0
