CÃ³digo   TÃ­tulo                                           Autor                                             StockCant. no atendida
IIM5175   Diamantes y pedernales                            Jose Maria Arguedas                                  2   0
YDK7687   El otonio del patriarca                           Gabriel Garcia Marquez                              60   0
ZOY6470   El viejo y el mar                                 Hernest Hemingway                                   25   0
ETZ8565   Confesiones de una mascara                        Yukio Mishima                                       27   0
LQL0880   Contra el fascismo                                Umberto Eco                                         34   0
VFZ9435   El olor de la Edad Media                          Javier Traite                                       49   0
SFZ1256   La Iliada                                         Homero                                              34   0
EDQ0577   Las aventuras de Pinocho                          Carlo Collodi                                       27   0
YJI3961   Cien anios de soledad                             Gabriel Garcia Marquez                              45   0
VPN5351   El Amante                                         Ana Maria Moix                                      27   0
PVS2464   Sapiens                                           Yuval Noah Harari                                   18   0
DVL7760   Falco                                             Arturo Perez-Reverte                                57   0
QRH6838   Las cronicas de Narnia                            C. S. Lewis                                         43   0
LDL2628   Harry Potter y el caliz de fuego (Harry Potter 4) J.K. Rowling                                         3   0
SBU9053   Tierra arrasada                                   Alfredo Gonzalez Ruibal                             34   0
ZJM1292   El suenio del celta                               Mario Vargas Llosa                                  52   0
CRA4157   El forastero misterioso                           Mark Twain                                          39   0
RII8346   Las dos Dianas                                    Alejandro Dumas                                     23   0
JBR9372   El maestro de esgrima                             Arturo Perez-Reverte                                60   0
NEO9165   Emperador de Roma                                 Mary Beard                                          65   0
TBZ2657   Olalla                                            Robert Louis Stevenson                               5   0
IBP7411   Nunca                                             Ken Follett                                         40   0
GPH1575   La gran aventura de los griegos                   Javier Negrete                                       3   0
XIU2628   Cabo Trafalgar                                    Arturo Perez-Reverte                                21   0
DDT0017   Viaje al fin de la noche                          Louis Ferdinand Celine                              38   0
ILG7766   Iliada                                            Homero                                               7   0
HGQ0131   Odisea                                            Homero                                              22   0
HLB4548   Frankenstein o el moderno Prometeo                Mary W. Shelley                                     18   0
SQB7146   Cronica de una muerte anunciada                   Gabriel Garcia Marquez                              31   0
VHK9148   Historia y cronologia del mundo                   Isaac Asimov                                        63   0
MVU0233   La conspiracioni                                  Dan Brown                                           60   0
KWL0415   1923                                              Roberto Villa Garcia                                24   0
WPU8819   Tristam Shandy                                    Laurence Sterne                                     47   0
JTX5687   Veinte mil leguas de viaje submarino              Julio Verne                                         29   0
HCT8192   Diario                                            Ana FranK                                           63   0
OMN0252   Los hermanos Karamazov                            Fiodor Dostoyevski                                  42   0
CKC4095   El Gran Gatsby                                    F. Scott Fitzgerald                                 26   0
JLQ6546   El retorno del Rey                                J.R.R.Tolkien                                       37   0
MSW8176   Todo se desmorona                                 Chinua Achebe                                       23   0
TDY0497   La chica del tren                                 Paula Hawkins                                       40   0
NBL8415   Espania con honra                                 Daniel Aquillue                                     50   0
IMC3155   Los pilares de la tierra                          Ken Follett                                         35   0
FWK6327   El doble                                          Fiodor Dostoyevski                                  24   0
GQC1814   Apocalipticos e integrados                        Umberto Eco                                         26   0
PRD1648   Relato de un naufrago                             Gabriel Garcia Marquez                              10   0
SBF7018   El handicap de la vida                            Rudyard Kipling                                      2   0
LVP3355   Las aventuras de Sherlock Holmes                  Arthur Conan Doyle                                  35   0
FBO8724   El pendulo de Foucault                            Umberto Eco                                         64   0
WCZ0845   El cementerio de Praga                            Umberto Eco                                          5   0
WOF6634   El problema final                                 Arturo Perez-Reverte                                64   0
CUV7849   Ficciones                                         Jorge Luis Borges                                   50   0
VMW6915   Travesuras de la ninia mala                       Mario Vargas Llosa                                  12   0
MBQ9495   Tormenta de espadas                               George R.R.Martin                                   27   0
LQA8555   Rimas y leyendas                                  Gustavo Adolfo Becquer                              14   0
IMK4892   La tabla de Flandes                               Arturo Perez-Reverte                                21   0
QCA9584   Dr. Jekyll y Mr. Hyde                             Robert Louis Stevenson                              27   0
XJT3661   Las aventuras de Tom Sawye                        Mark Twain                                          65   0
THT4126   Harry Potter y las reliquias de la muerte (Harry Potter 7)J. K. Rowling                                       15   0
PZP7176   La caida de los gigantes                          Ken Follett                                         28   0
UQL8643   Dracula                                           Bram Stoker                                         23   0
RLQ7170   El tango de la guardia vieja                      Arturo Perez-Reverte                                65   0
KTA8754   Ulises                                            James Joyce                                         22   0
TOJ1764   Ensayo sobre la ceguera                           Jose Saramago                                       40   0
GWE4133   El gato negro y otros cuentos                     Edgar Allan Poe                                     64   0
ZPD6557   El ruido y la furia                               William Faulkner                                    10   0
IUG2294   El proceso                                        Franz Kafka                                         17   0
WGA2754   El club Dumas                                     Arturo Perez-Reverte                                 8   0
YJE2497   Progreso del peregrino                            John Bunyan                                         65   0
XCC4070   El italiano                                       Arturo Perez-Reverte                                16   0
OBD2849   El invierno del mundo                             Ken Follett                                         51   0
UCJ9882   El reino de este mundo                            Alejo Carpentier                                    20   0
QVU3526   Vidas intrepidas                                  Julio Albi de la Cuesta                             45   0
VTY5195   Un asunto de honor                                Arturo Perez-Reverte                                48   0
FKK6524   Los renglones torcidos de Dios                    Torcuato Luca de Tena                               36   0
KPE7420   Jane Eyre                                         Charlotte Brontë                                    31   0
MWB2923   Mudlarking                                        Lara Maiklem                                        55   0
ISY5671   Harry Potter y la piedra filosofal (Harry Potter 1)J. K. Rowling                                       23   0
NBE1339   Palmeras en la nieve                              Luz Gabas                                           20   0
JHP0390   El conde de Montecristo                           Alexandre Dumas                                      5   0
OWU1533   Cuatro principes                                  John Julius Norwich                                 31   0
SFR1226   Ana la de las tejas verdes                        Lucy Maud Montgomery                                 2   0
HRT0664   Los funerales de la Mama Grande                   Gabriel Garcia Marquez                              42   0
HPP3360   El pintor de batallas                             Arturo Perez-Reverte                                53   0
DND9446   Lo que el viento se llevo                         Margaret Mitchell                                   58   0
LJD9991   Baudolino                                         Umberto Eco                                          6   0
XIU6076   Rebelion en la granja                             George Orwell                                       40   0
PWX7633   La tia Julia y el escribidor                      Mario Vargas Llosa                                  40   0
UXZ2187   Los 7 habitos de la gente altamente efectiva      Stephen R. Covey                                    35   0
UEJ1235   Grandes esperanzas                                Charles Dickens                                     64   0
DDQ0721   En busca del tiempo perdido                       Marcel Proust                                       50   0
HWM4049   Romper el circulo                                 Colleen Hoover                                      61   0
EWI3090   La seniora Dalloway                               Virginia Woolf                                      17   0
JZC7527   El tambor de hojalata                             Gunter Grass                                         2   0
WYE2119   El asedio                                         Arturo Perez-Reverte                                46   0
YKQ9278   Alicia en el pais de las maravillas               Lewis Carroll                                       23   0
ZNF2241   El extranio caso del Dr. Jekyll y Mr. Hyde        Robert Louis Stevenson                              47   0
CTW5846   El medievo cristiano                              Mario Merlino                                        2   0
FWP8469   Justine o los infortunios                         Charles Dickens                                     31   0
CRY6839   Ricardo III                                       William Shakespeare                                 43   0
WMN3648   Pasaje a la India                                 E. M. Forster                                        4   0
QBL9575   Los miserables                                    Victor Hugo                                         53   0
VOI0019   El evangelio según Jesucristo                     Jose Saramago                                       52   0
TMR5068   Los tres mosqueteros                              Alejandro Dumas                                     52   0
RWW7975   El nombre de la rosa                              Umberto Eco                                         47   0
LJE6687   El codigo Da Vinci                                Dan Brown                                           34   0
PPI9259   Revolucion                                        Arturo Perez-Reverte                                55   0
ZYF6683   Harry Potter y la Orden del Fenix ( Harry Potter 5)J. K. Rowling                                       27   0
GKG6581   Hombres buenos                                    Arturo Perez-Reverte                                44   0
WWT1581   La piel del tambor                                Arturo Perez-Reverte                                57   0
CMP1150   Don Quijote de la Mancha                          Miguel de Cervantes                                 27   0
CPE5718   Paris era una fiesta                              Hernest Hemingway                                   50   0
SHF2360   Un dia de colera                                  Arturo Perez-Reverte                                10   0
ETV5056   Moby Dick                                         Herman Melville                                     31   0
USE5598   Fortaleza digitali                                Dan Brown                                           38   0
TVR7016   El corazon de las tinieblas                       Joseph Conrad                                       32   0
BSX2922   Una historia de Espania                           Arturo Perez-Reverte                                 1   0
GXB5722   Cumbres borrascosas                               Emily Brontë                                        45   0
ZLE2920   Historia de la Edad Media                         Indro Montanelli                                    28   0
MNL3677   El Hobbit                                         J.R.R. Tolkien                                      41   0
ZAL2738   1984                                              George Orwell                                       34   0
PQZ1316   La Eneida                                         Virgilio                                            48   0
DDU0764   Dioses tumbas y sabios                            C. W. Ceram                                          7   0
EEJ4830   El Principito                                     Antoine de Saint-Exupery                            52   0
DPZ8059   El hombre que pudo reinar                         Rudyard Kipling                                     22   0
JJV7549   Los hombres que no amaban a las mujeres           Stieg Larsson                                       21   0
JXK3142   En el camino                                      Jack Kerouac                                        51   0
USM9579   El perfume                                        Patrick Suskind                                     22   0
JGG5049   El eterno marido                                  Fiodor Dostoyevski                                  53   0
MIK5358   La transformacion del mundo                       Jürgen Osterhammel                                  30   0
BDK4183   La isla del tesoro                                Robert Louis Stevenson                              30   0
ECT0289   Juego de tronos                                   George R.R.Martin                                    9   0
DVR5984   Mil soles esplendidos                             Khaled Hosseini                                     24   0
EBE0042   Capitanes intrepidos                              Rudyard Kipling                                     39   0
CXW5879   Los barcos se pierden en tierra                   Arturo Perez-Reverte                                51   0
GOG7446   El guardian entre el centeno                      J. D. Salinger                                      57   0
QYH7021   Historia del siglo XX: 1914-1991                  Eric Hobsbawm                                        2   0
KCI5219   El Maestro y Margarita                            Mijail Bulgakov                                     21   0
FMX8255   Las aventuras de Huckleberry Finn                 Mark Twain                                          55   0
ZQY9966   El suenio del tio                                 Fiodor Dostoyevski                                  30   0
DXP8640   El retrato de Dorian Gray                         Oscar Wilde                                         62   0
LRV5687   La guerra del fin del mundo                       Mario Vargas Llosa                                  64   0
EBT7258   Linea de fuego                                    Arturo Perez-Reverte                                 5   0
ELC8965   Las aventuras de Rocambole                        Ponson Du Terrail                                   38   0
ULM8751   La sumisa                                         Fiodor Dostoyevski                                   8   0
PGK5617   El Rey Lear                                       William Shakespeare                                 36   0
QFG6515   El libro de la selva                              Rudyard Kipling                                     60   0
QVX9089   Madame Bovary                                     Gustave Flaubert                                    28   0
QMI4747   La isla de los amores infinitos                   Daina Chaviano                                      26   0
SMW0186   La sombra del viento                              Carlos Ruiz Zafon                                   65   0
HSE3213   Por quien doblan las campanas                     Hernest Hemingway                                   20   0
RZX8790   El senior de las moscas                           William Golding                                     23   0
XMT1768   Los diarios de Adan y Eva                         Mark Twain                                          21   0
HGN9910   La ciudad y los perros                            Mario Vargas Llosa                                  62   0
JNC0786   Mi isla                                           Elisabet Benavent                                   46   0
HHR5161   El francotirador paciente                         Arturo Perez-Reverte                                23   0
FNM6936   Divina comedia                                    Dante Alighieri                                     50   0
HVZ1228   El húsar                                          Arturo Perez-Reverte                                43   0
MKB4184   Napoleon                                          Alejandro Dumas                                     65   0
KBF4088   Harry Potter y el prisionero de Azkaban (Harry Potter 3)J.K. Rowling                                        24   0
ZQD4253   Harry Potter y el misterio del principe ( Harry Potter 6)J. K. Rowling                                       64   0
PHL4155   El idiota                                         Fiodor Dostoyevski                                  20   0
EYV0597   Cuentos de la selva                               Horacio Quiroga                                      2   0
AKU9740   Conversacion en La Catedral                       Mario Vargas Llosa                                  31   0
ACM9578   Amadis de gaula                                   Garci Rodriguez Montalvo                            33   0
OCI8959   David Copperfield                                 Charles Dickens                                     65   0
EJE8138   Yawar fiesta                                      Jose Maria Arguedas                                 16   0
WHU1288   La hija italiana                                  Soraya Lane                                         14   0
ICU6090   La fiesta del chivo                               Mario Vargas Llosa                                  14   0
BUC5125   El faro de Stalingrado                            Iain MacGregor                                      26   0
BUY4915   La sombra del aguila                              Arturo Perez-Reverte                                22   0
USK1312   Un mundo sin fin                                  Ken Follett                                         50   0
VFO4193   La catedral del mar                               Ildefonso Falcones                                  20   0
OWO8918   Origen                                            Dan Brown                                           60   0
YZV6954   Corazon de las tinieblas                          Joseph Conrad                                       30   0
CLG5566   Pantaleon y las visitadoras                       Mario Vargas Llosa                                   1   0
IUI3314   El coronel no tiene quien le escriba              Gabriel Garcia Marquez                              32   0
EFD3949   La divina comedia                                 Dante Alighieri                                     26   0
FVV9246   Matar a un ruisenior                              Harper Lee                                          54   0
SPM4763   Eva                                               Arturo Perez-Reverte                                18   0
BHD6079   Zorba el griego                                   Nikos Kazantzakis                                   10   0
RYI5447   El corazon es un cazador solitario                Carson Mccullers                                    14   0
BUB3833   Otelo                                             William Shakespeare                                 11   0
EUO8195   El jardin del Eden                                Hernest Hemingway                                   11   0
KSX7995   El simbolo perdidoi                               Dan Brown                                            8   0
MTZ2227   Hamlet                                            William Shakespeare                                 42   0
JSM8271   La Odisea                                         Homero                                              53   0
KVL6246   La edad media - barbaros - cristianos y musulmanesUmberto Eco                                         19   0
QMJ4188   Emma                                              Jane Austen                                         20   0
QKH2262   Fiesta                                            Hernest Hemingway                                   23   0
HXB2949   El medico                                         Noah Gordon                                         32   0
OBH4691   Crimen y castigo                                  Fiodor Dostoyevski                                  62   0
IPE3429   Sidi                                              Arturo Perez-Reverte                                49   0
ILA4795   La ladrona de libros                              Markus ZusaK                                        39   0
EFQ0297   Trampa 22                                         Joseph Heller                                       31   0
BRG4234   La telarania de Carlota                           E. B. White                                         15   0
